
Teste para operação AND com 2 entradas:
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True

Teste para operação AND com 2 entradas:
Entrada: [0 1 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 1 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 0 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 1 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 1 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 0 1 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 1 0], Saída do Perceptron: 0, Rótulo: False

Teste para operação AND com 5 entradas:
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: True

Teste para operação OR com 2 entradas:
Entrada: [0 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [1 1 1 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 1 0 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 1 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 1 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 0 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [0 0 0 0 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 0], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 0 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 0 1 1 1], Saída do Perceptron: 1, Rótulo: True
Entrada: [1 1 1 1 1], Saída do Perceptron: 1, Rótulo: True

Teste para operação OR com 5 entradas:
Entrada: [0 0], Saída do Perceptron: 1, Rótulo: 0
Entrada: [0 1], Saída do Perceptron: 1, Rótulo: 1
Entrada: [1 0], Saída do Perceptron: 0, Rótulo: 1
Entrada: [1 1], Saída do Perceptron: 0, Rótulo: 0

Teste para operação XOR com 2 entradas:
Entrada: [0 0], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
Entrada: [0 1], Saída do Perceptron: 0, Rótulo: False
